GEOID,new_district
1400000US13001950100,12.0
1400000US13001950201,12.0
1400000US13001950202,12.0
1400000US13001950301,12.0
1400000US13001950302,12.0
1400000US13001950400,12.0
1400000US13001950500,12.0
1400000US13003960100,2.0
1400000US13003960200,2.0
1400000US13003960300,2.0
1400000US13005970100,12.0
1400000US13005970201,12.0
1400000US13005970202,12.0
1400000US13007960100,2.0
1400000US13007960200,2.0
1400000US13009970101,8.0
1400000US13009970102,8.0
1400000US13009970201,8.0
1400000US13009970202,8.0
1400000US13009970301,8.0
1400000US13009970302,8.0
1400000US13009970400,8.0
1400000US13009970501,8.0
1400000US13009970502,8.0
1400000US13009970600,8.0
1400000US13009970701,8.0
1400000US13009970702,8.0
1400000US13009970801,8.0
1400000US13009970802,8.0
1400000US13011970100,9.0
1400000US13011970200,9.0
1400000US13011970300,9.0
1400000US13011970400,9.0
1400000US13013180103,10.0
1400000US13013180104,10.0
1400000US13013180105,10.0
1400000US13013180106,10.0
1400000US13013180107,10.0
1400000US13013180108,10.0
1400000US13013180203,10.0
1400000US13013180204,10.0
1400000US13013180205,10.0
1400000US13013180206,10.0
1400000US13013180301,10.0
1400000US13013180302,10.0
1400000US13013180303,10.0
1400000US13013180401,10.0
1400000US13013180402,10.0
1400000US13013180501,10.0
1400000US13013180502,10.0
1400000US13013180503,10.0
1400000US13015960101,14.0
1400000US13015960103,14.0
1400000US13015960104,14.0
1400000US13015960105,14.0
1400000US13015960201,14.0
1400000US13015960202,14.0
1400000US13015960203,14.0
1400000US13015960301,14.0
1400000US13015960302,14.0
1400000US13015960403,14.0
1400000US13015960404,14.0
1400000US13015960405,14.0
1400000US13015960406,14.0
1400000US13015960407,14.0
1400000US13015960501,14.0
1400000US13015960502,14.0
1400000US13015960601,14.0
1400000US13015960602,14.0
1400000US13015960701,14.0
1400000US13015960702,14.0
1400000US13015960801,14.0
1400000US13015960802,14.0
1400000US13015960804,14.0
1400000US13015960805,14.0
1400000US13015960901,14.0
1400000US13015960902,14.0
1400000US13015961001,14.0
1400000US13015961002,14.0
1400000US13017960100,2.0
1400000US13017960200,2.0
1400000US13017960300,2.0
1400000US13017960400,2.0
1400000US13017960501,2.0
1400000US13017960502,2.0
1400000US13019970100,2.0
1400000US13019970200,2.0
1400000US13019970300,2.0
1400000US13019970400,2.0
1400000US13019970500,2.0
1400000US13019970600,2.0
1400000US13021010100,8.0
1400000US13021010200,8.0
1400000US13021010400,8.0
1400000US13021010500,8.0
1400000US13021010800,8.0
1400000US13021011001,8.0
1400000US13021011002,8.0
1400000US13021011100,8.0
1400000US13021011500,8.0
1400000US13021011701,8.0
1400000US13021011702,8.0
1400000US13021011800,8.0
1400000US13021011900,8.0
1400000US13021012000,8.0
1400000US13021012101,8.0
1400000US13021012102,8.0
1400000US13021012200,8.0
1400000US13021012400,8.0
1400000US13021012500,8.0
1400000US13021012600,8.0
1400000US13021012700,8.0
1400000US13021012800,8.0
1400000US13021012900,8.0
1400000US13021013101,8.0
1400000US13021013102,8.0
1400000US13021013201,8.0
1400000US13021013202,8.0
1400000US13021013302,8.0
1400000US13021013407,8.0
1400000US13021013408,8.0
1400000US13021013409,8.0
1400000US13021013411,8.0
1400000US13021013412,8.0
1400000US13021013413,8.0
1400000US13021013502,8.0
1400000US13021013503,8.0
1400000US13021013505,8.0
1400000US13021013506,8.0
1400000US13021013603,8.0
1400000US13021013604,8.0
1400000US13021013605,8.0
1400000US13021013607,8.0
1400000US13021013608,8.0
1400000US13021013701,8.0
1400000US13021013702,8.0
1400000US13021013800,8.0
1400000US13021013900,8.0
1400000US13021014000,8.0
1400000US13023790100,8.0
1400000US13023790200,8.0
1400000US13023790301,8.0
1400000US13023790302,8.0
1400000US13025960101,1.0
1400000US13025960102,1.0
1400000US13025960201,1.0
1400000US13025960202,1.0
1400000US13025960300,1.0
1400000US13027960200,2.0
1400000US13027960301,2.0
1400000US13027960302,2.0
1400000US13027960400,2.0
1400000US13027960500,2.0
1400000US13027960600,2.0
1400000US13029920101,12.0
1400000US13029920103,12.0
1400000US13029920104,12.0
1400000US13029920301,1.0
1400000US13029920303,1.0
1400000US13029920305,1.0
1400000US13029920307,1.0
1400000US13029920308,1.0
1400000US13029980000,1.0
1400000US13031110100,12.0
1400000US13031110201,12.0
1400000US13031110202,12.0
1400000US13031110301,12.0
1400000US13031110302,12.0
1400000US13031110401,12.0
1400000US13031110405,12.0
1400000US13031110406,12.0
1400000US13031110407,12.0
1400000US13031110408,12.0
1400000US13031110500,12.0
1400000US13031110602,12.0
1400000US13031110603,12.0
1400000US13031110604,12.0
1400000US13031110701,12.0
1400000US13031110702,12.0
1400000US13031110703,12.0
1400000US13031110800,12.0
1400000US13031110901,12.0
1400000US13031110902,12.0
1400000US13033950101,12.0
1400000US13033950102,12.0
1400000US13033950200,12.0
1400000US13033950400,12.0
1400000US13033950500,12.0
1400000US13033950700,12.0
1400000US13033950900,12.0
1400000US13035150101,8.0
1400000US13035150102,8.0
1400000US13035150201,8.0
1400000US13035150202,8.0
1400000US13035150300,8.0
1400000US13037950100,2.0
1400000US13037950200,2.0
1400000US13039010100,1.0
1400000US13039010201,1.0
1400000US13039010202,1.0
1400000US13039010302,1.0
1400000US13039010303,1.0
1400000US13039010304,1.0
1400000US13039010305,1.0
1400000US13039010403,1.0
1400000US13039010404,1.0
1400000US13039010405,1.0
1400000US13039010406,1.0
1400000US13039010407,1.0
1400000US13039010500,1.0
1400000US13039010602,1.0
1400000US13039010603,1.0
1400000US13039010604,1.0
1400000US13039990000,1.0
1400000US13043950100,12.0
1400000US13043950200,12.0
1400000US13043950300,12.0
1400000US13045910101,3.0
1400000US13045910103,3.0
1400000US13045910105,3.0
1400000US13045910106,3.0
1400000US13045910201,14.0
1400000US13045910202,14.0
1400000US13045910203,14.0
1400000US13045910301,3.0
1400000US13045910302,3.0
1400000US13045910400,3.0
1400000US13045910502,3.0
1400000US13045910503,3.0
1400000US13045910504,3.0
1400000US13045910600,3.0
1400000US13045910704,3.0
1400000US13045910705,3.0
1400000US13045910706,3.0
1400000US13045910707,3.0
1400000US13045910708,3.0
1400000US13045910709,3.0
1400000US13045910800,3.0
1400000US13045910900,3.0
1400000US13045911001,3.0
1400000US13045911002,3.0
1400000US13045911101,3.0
1400000US13045911102,3.0
1400000US13045911201,3.0
1400000US13045911202,3.0
1400000US13047030100,14.0
1400000US13047030201,14.0
1400000US13047030202,14.0
1400000US13047030303,14.0
1400000US13047030304,14.0
1400000US13047030305,14.0
1400000US13047030306,14.0
1400000US13047030402,14.0
1400000US13047030403,14.0
1400000US13047030404,14.0
1400000US13047030501,14.0
1400000US13047030502,14.0
1400000US13047030600,14.0
1400000US13047030701,14.0
1400000US13047030702,14.0
1400000US13049010101,1.0
1400000US13049010102,1.0
1400000US13049010200,1.0
1400000US13051000601,1.0
1400000US13051001100,1.0
1400000US13051001200,1.0
1400000US13051002000,1.0
1400000US13051002100,1.0
1400000US13051002200,1.0
1400000US13051002300,1.0
1400000US13051002600,1.0
1400000US13051002700,1.0
1400000US13051002800,1.0
1400000US13051002900,1.0
1400000US13051003000,1.0
1400000US13051003301,1.0
1400000US13051003302,1.0
1400000US13051003400,1.0
1400000US13051003501,1.0
1400000US13051003502,1.0
1400000US13051003601,1.0
1400000US13051003602,1.0
1400000US13051003700,1.0
1400000US13051003800,1.0
1400000US13051003900,1.0
1400000US13051004001,1.0
1400000US13051004002,1.0
1400000US13051004100,1.0
1400000US13051004207,1.0
1400000US13051004208,1.0
1400000US13051004209,1.0
1400000US13051004210,1.0
1400000US13051004211,1.0
1400000US13051004212,1.0
1400000US13051004300,1.0
1400000US13051004400,1.0
1400000US13051004500,1.0
1400000US13051010102,1.0
1400000US13051010200,1.0
1400000US13051010502,1.0
1400000US13051010503,1.0
1400000US13051010504,1.0
1400000US13051010601,1.0
1400000US13051010603,1.0
1400000US13051010701,1.0
1400000US13051010702,1.0
1400000US13051010703,1.0
1400000US13051010704,1.0
1400000US13051010705,1.0
1400000US13051010706,1.0
1400000US13051010707,1.0
1400000US13051010801,1.0
1400000US13051010806,1.0
1400000US13051010807,1.0
1400000US13051010810,1.0
1400000US13051010811,1.0
1400000US13051010812,1.0
1400000US13051010813,1.0
1400000US13051010814,1.0
1400000US13051010815,1.0
1400000US13051010816,1.0
1400000US13051010817,1.0
