GEOID,new_district
1400000US34001000100,2.0
1400000US34001000200,2.0
1400000US34001000300,2.0
1400000US34001000400,2.0
1400000US34001000500,2.0
1400000US34001001100,2.0
1400000US34001001200,2.0
1400000US34001001300,2.0
1400000US34001001400,2.0
1400000US34001001500,2.0
1400000US34001001900,2.0
1400000US34001002300,2.0
1400000US34001002400,2.0
1400000US34001002500,2.0
1400000US34001010101,2.0
1400000US34001010102,2.0
1400000US34001010104,2.0
1400000US34001010105,2.0
1400000US34001010200,2.0
1400000US34001010300,2.0
1400000US34001010401,2.0
1400000US34001010403,2.0
1400000US34001010501,2.0
1400000US34001010503,2.0
1400000US34001010505,2.0
1400000US34001010506,2.0
1400000US34001010600,2.0
1400000US34001010700,2.0
1400000US34001010800,2.0
1400000US34001010900,2.0
1400000US34001011000,2.0
1400000US34001011100,2.0
1400000US34001011201,2.0
1400000US34001011202,2.0
1400000US34001011300,2.0
1400000US34001011401,2.0
1400000US34001011403,2.0
1400000US34001011404,2.0
1400000US34001011500,2.0
1400000US34001011600,2.0
1400000US34001011702,2.0
1400000US34001011703,2.0
1400000US34001011704,2.0
1400000US34001011803,2.0
1400000US34001011804,2.0
1400000US34001011805,2.0
1400000US34001011806,2.0
1400000US34001011807,2.0
1400000US34001011808,2.0
1400000US34001011901,2.0
1400000US34001011902,2.0
1400000US34001012000,2.0
1400000US34001012100,2.0
1400000US34001012200,2.0
1400000US34001012302,2.0
1400000US34001012401,2.0
1400000US34001012402,2.0
1400000US34001012501,2.0
1400000US34001012502,2.0
1400000US34001012602,2.0
1400000US34001012701,2.0
1400000US34001012702,2.0
1400000US34001012801,2.0
1400000US34001012802,2.0
1400000US34001013000,2.0
1400000US34001013101,2.0
1400000US34001013102,2.0
1400000US34001013201,2.0
1400000US34001013202,2.0
1400000US34001013301,2.0
1400000US34001013302,2.0
1400000US34001013500,2.0
1400000US34001983400,2.0
1400000US34001990000,2.0
1400000US34003001001,5.0
1400000US34003001002,5.0
1400000US34003002100,5.0
1400000US34003002200,5.0
1400000US34003002300,5.0
1400000US34003003100,9.0
1400000US34003003200,9.0
1400000US34003003300,9.0
1400000US34003003401,9.0
1400000US34003003402,9.0
1400000US34003003500,9.0
1400000US34003004001,9.0
1400000US34003004002,9.0
1400000US34003005000,9.0
1400000US34003006101,8.0
1400000US34003006102,8.0
1400000US34003006201,8.0
1400000US34003006202,8.0
1400000US34003006301,8.0
1400000US34003006302,8.0
1400000US34003007001,5.0
1400000US34003007002,5.0
1400000US34003008001,5.0
1400000US34003008002,5.0
1400000US34003009100,5.0
1400000US34003009200,5.0
1400000US34003010100,5.0
1400000US34003010200,5.0
1400000US34003010300,5.0
1400000US34003011100,9.0
1400000US34003011200,9.0
1400000US34003011300,9.0
1400000US34003011400,9.0
1400000US34003012001,10.0
1400000US34003012002,10.0
1400000US34003013002,8.0
1400000US34003013003,8.0
1400000US34003013004,8.0
